run_id,lang_pair,l2r_hits@1,l2r_hits@10,l2r_mrr,r2l_hits@1,r2l_hits@10,r2l_mrr
20260302-055424-MEAformer-epoch3-FBDB15K-norm-s42,FBDB15K,0.1733,0.4706,0.27,0.1752,0.4689,0.272
20260302-060314-MEAformer-epoch3-FBYG15K-norm-s42,FBYG15K,0.1613,0.4106,0.244,0.1616,0.4162,0.246
20260302-063518-MEAformer-epoch3-FBDB15K-norm-s3407,FBDB15K,0.1974,0.501,0.297,0.2025,0.5043,0.302
20260302-064355-MEAformer-epoch3-FBDB15K-norm-s2026,FBDB15K,0.1957,0.4877,0.292,0.2032,0.4886,0.298
20260302-065235-MEAformer-epoch3-FBDB15K-norm-s7,FBDB15K,0.1814,0.4806,0.279,0.19,0.4821,0.285
20260302-070113-MEAformer-epoch3-FBDB15K-norm-s123,FBDB15K,0.203,0.5104,0.303,0.2054,0.5144,0.308
20260302-071007-MEAformer-epoch3-FBYG15K-norm-s3407,FBYG15K,0.156,0.4067,0.24,0.159,0.4096,0.241
20260302-072035-MEAformer-epoch3-FBYG15K-norm-s2026,FBYG15K,0.1703,0.4277,0.255,0.1699,0.4262,0.255
20260302-073118-MEAformer-epoch3-FBYG15K-norm-s7,FBYG15K,0.1567,0.4056,0.24,0.1546,0.4008,0.238
20260302-074144-MEAformer-epoch3-FBYG15K-norm-s123,FBYG15K,0.1619,0.42,0.248,0.1634,0.4234,0.25
