dataset,metric,baseline_mean,method_mean,delta_method_minus_baseline,baseline_num_runs,method_num_runs
zh_en,l2r_hits@1,0.6641,0.6638,-0.0003,2,2
zh_en,l2r_hits@10,0.9163,0.9157,-0.0006,2,2
zh_en,l2r_mrr,0.75,0.75,0.0,2,2
zh_en,r2l_hits@1,0.6643,0.6639,-0.0004,2,2
zh_en,r2l_hits@10,0.9147,0.9153,0.0006,2,2
zh_en,r2l_mrr,0.7505,0.7495,-0.001,2,2
FBDB15K,l2r_hits@1,0.2182,0.2179,-0.0003,2,2
FBDB15K,l2r_hits@10,0.5278,0.5288,0.001,2,2
FBDB15K,l2r_mrr,0.3205,0.32,-0.0005,2,2
FBDB15K,r2l_hits@1,0.2167,0.2156,-0.0011,2,2
FBDB15K,r2l_hits@10,0.5301,0.532,0.0019,2,2
FBDB15K,r2l_mrr,0.3205,0.3195,-0.001,2,2
