dataset,metric,baseline_epoch3_mean,tmmeada_v1_best_epoch3_mean,delta_method_minus_baseline,baseline_num_runs,method_num_runs
FBDB15K,l2r Hits@1,0.1902,0.1903,0.0001,5,5
FBDB15K,l2r Hits@10,0.4901,0.4904,0.0003,5,5
FBDB15K,l2r MRR,0.2882,0.2882,0.0,5,5
FBDB15K,r2l Hits@1,0.1953,0.1954,0.0001,5,5
FBDB15K,r2l Hits@10,0.4917,0.4921,0.0004,5,5
FBDB15K,r2l MRR,0.293,0.2934,0.0004,5,5
FBYG15K,l2r Hits@1,0.1612,0.1614,0.0002,5,5
FBYG15K,l2r Hits@10,0.4141,0.4144,0.0003,5,5
FBYG15K,l2r MRR,0.2454,0.2458,0.0004,5,5
FBYG15K,r2l Hits@1,0.1617,0.1617,0.0,5,5
FBYG15K,r2l Hits@10,0.4152,0.4153,0.0001,5,5
FBYG15K,r2l MRR,0.246,0.246,0.0,5,5
