dataset,metric,baseline_epoch3_mean,tmmeada_v1_best_epoch3_mean,delta_method_minus_baseline,baseline_num_runs,method_num_runs
FBDB15K,l2r Hits@1,0.1733,0.1736,0.0003,1,1
FBDB15K,l2r Hits@10,0.4706,0.4716,0.001,1,1
FBDB15K,l2r MRR,0.27,0.27,0.0,1,1
FBDB15K,r2l Hits@1,0.1752,0.1752,0.0,1,1
FBDB15K,r2l Hits@10,0.4689,0.4695,0.0006,1,1
FBDB15K,r2l MRR,0.272,0.273,0.001,1,1
FBYG15K,l2r Hits@1,0.1613,0.1614,0.0001,1,1
FBYG15K,l2r Hits@10,0.4106,0.4104,-0.0002,1,1
FBYG15K,l2r MRR,0.244,0.244,0.0,1,1
FBYG15K,r2l Hits@1,0.1616,0.1615,-0.0001,1,1
FBYG15K,r2l Hits@10,0.4162,0.4162,0.0,1,1
FBYG15K,r2l MRR,0.246,0.246,0.0,1,1
