lang_pair,metric,baseline_epoch3_mean,tmmeada_v1_best_epoch3_mean,delta_method_minus_baseline,baseline_num_runs,method_num_runs
zh_en,l2r Hits@1,0.6233,0.6233,0.0,5,5
zh_en,l2r Hits@10,0.8926,0.8926,0.0,5,5
zh_en,l2r MRR,0.7146,0.7146,0.0,5,5
zh_en,r2l Hits@1,0.6233,0.6234,0.0001,5,5
zh_en,r2l Hits@10,0.8925,0.8924,-0.0001,5,5
zh_en,r2l MRR,0.7148,0.715,0.0002,5,5
ja_en,l2r Hits@1,0.6014,0.6014,0.0,5,5
ja_en,l2r Hits@10,0.8801,0.8802,0.0001,5,5
ja_en,l2r MRR,0.6956,0.6958,0.0002,5,5
ja_en,r2l Hits@1,0.5997,0.5998,0.0001,5,5
ja_en,r2l Hits@10,0.8801,0.8802,0.0001,5,5
ja_en,r2l MRR,0.6944,0.6944,0.0,5,5
fr_en,l2r Hits@1,0.6086,0.6089,0.0003,1,1
fr_en,l2r Hits@10,0.8925,0.8924,-0.0001,1,1
fr_en,l2r MRR,0.705,0.705,0.0,1,1
fr_en,r2l Hits@1,0.6032,0.6033,0.0001,1,1
fr_en,r2l Hits@10,0.893,0.8929,-0.0001,1,1
fr_en,r2l MRR,0.702,0.702,0.0,1,1
