run_id,lang_pair,l2r_hits@1,l2r_hits@10,l2r_mrr,r2l_hits@1,r2l_hits@10,r2l_mrr
20260228-003951-MEAformer-DBP15K-zh_en-s42,zh_en,0.6457,0.8765,0.725,0.6399,0.87,0.72
20260228-005054-MEAformer-DBP15K-ja_en-s42,ja_en,0.5965,0.8503,0.681,0.5954,0.8489,0.679
20260228-010242-MEAformer-DBP15K-fr_en-s42,fr_en,0.5343,0.8424,0.636,0.5349,0.8446,0.637
20260228-011737-MEAformer-DBP15K-zh_en-s3407,zh_en,0.6456,0.875,0.724,0.6387,0.8683,0.717
20260228-012646-MEAformer-DBP15K-zh_en-s2026,zh_en,0.6367,0.8725,0.717,0.632,0.8644,0.711
20260228-013555-MEAformer-DBP15K-ja_en-s3407,ja_en,0.6008,0.8554,0.686,0.602,0.8542,0.687
20260228-014735-MEAformer-DBP15K-ja_en-s2026,ja_en,0.6023,0.8537,0.686,0.5973,0.8538,0.683
20260228-015923-MEAformer-DBP15K-fr_en-s3407,fr_en,0.5395,0.8485,0.641,0.539,0.8538,0.642
20260228-021245-MEAformer-DBP15K-fr_en-s2026,fr_en,0.5416,0.8484,0.645,0.5413,0.8544,0.645
20260228-022816-MEAformer-DBP15K-zh_en-s7,zh_en,0.6427,0.8764,0.723,0.6403,0.8693,0.718
20260228-023730-MEAformer-DBP15K-zh_en-s123,zh_en,0.6421,0.8782,0.723,0.6364,0.8686,0.716
20260228-024743-MEAformer-DBP15K-ja_en-s7,ja_en,0.599,0.8519,0.684,0.5971,0.8547,0.683
20260228-025946-MEAformer-DBP15K-ja_en-s123,ja_en,0.5984,0.845,0.682,0.6001,0.8476,0.683
20260228-031149-MEAformer-DBP15K-fr_en-s7,fr_en,0.5404,0.8468,0.642,0.5386,0.8509,0.641
20260228-032430-MEAformer-DBP15K-fr_en-s123,fr_en,0.548,0.8502,0.648,0.5424,0.8507,0.644
20260228-034703-MEAformer-FBDB15K-norm-s42,FBDB15K,0.0988,0.3307,0.174,0.1049,0.3385,0.181
20260228-035008-MEAformer-FBYG15K-norm-s42,FBYG15K,0.0842,0.2685,0.147,0.0894,0.2765,0.152
20260228-035557-MEAformer-FBDB15K-norm-s3407,FBDB15K,0.0994,0.3233,0.173,0.1076,0.3312,0.183
20260228-035841-MEAformer-FBDB15K-norm-s2026,FBDB15K,0.0983,0.3278,0.174,0.1088,0.3376,0.184
20260228-040123-MEAformer-FBYG15K-norm-s3407,FBYG15K,0.0878,0.2776,0.152,0.0908,0.275,0.153
20260228-040450-MEAformer-FBYG15K-norm-s2026,FBYG15K,0.0845,0.2625,0.145,0.085,0.2599,0.145
20260228-042721-MEAformer-FBDB15K-norm-s7,FBDB15K,0.1009,0.3206,0.175,0.1062,0.3274,0.18
20260228-043004-MEAformer-FBDB15K-norm-s123,FBDB15K,0.0955,0.3193,0.169,0.1015,0.3283,0.177
20260228-043247-MEAformer-FBYG15K-norm-s7,FBYG15K,0.0847,0.2853,0.152,0.0911,0.2802,0.155
20260228-043618-MEAformer-FBYG15K-norm-s123,FBYG15K,0.0871,0.284,0.153,0.0907,0.2877,0.157
