run_id,lang_pair,l2r_hits@1,l2r_hits@10,l2r_mrr,r2l_hits@1,r2l_hits@10,r2l_mrr
20260302-091210-TMMEA-DA-v1-best-epoch3-wo-domain-DBP15K-zh_en-s42,zh_en,0.6278,0.8969,0.719,0.6261,0.8952,0.717
20260302-094459-TMMEA-DA-v1-best-epoch3-wo-source-DBP15K-zh_en-s42,zh_en,0.6272,0.897,0.719,0.6262,0.8952,0.717
20260302-101712-TMMEA-DA-v1-best-epoch3-wo-missing-DBP15K-zh_en-s42,zh_en,0.6278,0.8969,0.719,0.6261,0.8952,0.717
20260302-110037-TMMEA-DA-v1-best-epoch3-wo-domain-DBP15K-zh_en-s3407,zh_en,0.6169,0.8858,0.709,0.6169,0.889,0.71
20260302-113102-TMMEA-DA-v1-best-epoch3-wo-domain-DBP15K-zh_en-s2026,zh_en,0.6125,0.8894,0.707,0.6165,0.8925,0.71
20260302-120106-TMMEA-DA-v1-best-epoch3-wo-domain-DBP15K-zh_en-s7,zh_en,0.6259,0.8918,0.714,0.6256,0.8909,0.715
20260302-123104-TMMEA-DA-v1-best-epoch3-wo-domain-DBP15K-zh_en-s123,zh_en,0.6336,0.8992,0.724,0.6317,0.8946,0.723
20260302-130121-TMMEA-DA-v1-best-epoch3-wo-source-DBP15K-zh_en-s3407,zh_en,0.6169,0.8859,0.709,0.6168,0.889,0.71
20260302-133130-TMMEA-DA-v1-best-epoch3-wo-source-DBP15K-zh_en-s2026,zh_en,0.6125,0.8893,0.707,0.6165,0.8925,0.71
20260302-140132-TMMEA-DA-v1-best-epoch3-wo-source-DBP15K-zh_en-s7,zh_en,0.6261,0.8918,0.714,0.6253,0.891,0.714
20260302-143133-TMMEA-DA-v1-best-epoch3-wo-source-DBP15K-zh_en-s123,zh_en,0.6337,0.8991,0.724,0.6317,0.8946,0.723
20260302-150150-TMMEA-DA-v1-best-epoch3-wo-missing-DBP15K-zh_en-s3407,zh_en,0.6169,0.8858,0.709,0.6169,0.889,0.71
20260302-153153-TMMEA-DA-v1-best-epoch3-wo-missing-DBP15K-zh_en-s2026,zh_en,0.6125,0.8894,0.707,0.6165,0.8925,0.71
20260302-160157-TMMEA-DA-v1-best-epoch3-wo-missing-DBP15K-zh_en-s7,zh_en,0.6259,0.8918,0.714,0.6256,0.8909,0.715
20260302-163200-TMMEA-DA-v1-best-epoch3-wo-missing-DBP15K-zh_en-s123,zh_en,0.6336,0.8992,0.724,0.6317,0.8946,0.723
