run_id,lang_pair,l2r_hits@1,l2r_hits@10,l2r_mrr,r2l_hits@1,r2l_hits@10,r2l_mrr
20260302-061347-TMMEA-DA-v1-best-epoch3-FBDB15K-norm-s42,FBDB15K,0.1736,0.4716,0.27,0.1752,0.4695,0.273
20260302-062232-TMMEA-DA-v1-best-epoch3-FBYG15K-norm-s42,FBYG15K,0.1614,0.4104,0.244,0.1615,0.4162,0.246
20260302-075208-TMMEA-DA-v1-best-epoch3-FBDB15K-norm-s3407,FBDB15K,0.1974,0.5011,0.297,0.2026,0.5046,0.302
20260302-080025-TMMEA-DA-v1-best-epoch3-FBDB15K-norm-s2026,FBDB15K,0.1962,0.4883,0.292,0.2036,0.4887,0.299
20260302-080843-TMMEA-DA-v1-best-epoch3-FBDB15K-norm-s7,FBDB15K,0.1816,0.4805,0.279,0.19,0.4827,0.285
20260302-081659-TMMEA-DA-v1-best-epoch3-FBDB15K-norm-s123,FBDB15K,0.2027,0.5107,0.303,0.2054,0.5149,0.308
20260302-082529-TMMEA-DA-v1-best-epoch3-FBYG15K-norm-s3407,FBYG15K,0.1566,0.4076,0.241,0.1589,0.4097,0.241
20260302-083539-TMMEA-DA-v1-best-epoch3-FBYG15K-norm-s2026,FBYG15K,0.1705,0.428,0.256,0.1702,0.4263,0.255
20260302-084552-TMMEA-DA-v1-best-epoch3-FBYG15K-norm-s7,FBYG15K,0.1568,0.4058,0.24,0.1548,0.4007,0.238
20260302-085606-TMMEA-DA-v1-best-epoch3-FBYG15K-norm-s123,FBYG15K,0.1618,0.4204,0.248,0.1633,0.4237,0.25
