run_id,lang_pair,l2r_hits@1,l2r_hits@10,l2r_mrr,r2l_hits@1,r2l_hits@10,r2l_mrr
20260301-005700-TMMEA-DA-v1-best-epoch3-DBP15K-zh_en-s42,zh_en,0.6278,0.8969,0.719,0.6261,0.8952,0.717
20260301-093138-TMMEA-DA-v1-best-epoch3-DBP15K-zh_en-s3407,zh_en,0.6169,0.8858,0.709,0.6169,0.889,0.71
20260301-100319-TMMEA-DA-v1-best-epoch3-DBP15K-zh_en-s2026,zh_en,0.6125,0.8894,0.707,0.6165,0.8925,0.71
20260301-103450-TMMEA-DA-v1-best-epoch3-DBP15K-zh_en-s7,zh_en,0.6259,0.8918,0.714,0.6256,0.8909,0.715
20260301-110937-TMMEA-DA-v1-best-epoch3-DBP15K-zh_en-s123,zh_en,0.6336,0.8992,0.724,0.6317,0.8946,0.723
20260301-124502-TMMEA-DA-v1-best-epoch3-DBP15K-ja_en-s42,ja_en,0.5987,0.8781,0.693,0.6015,0.8809,0.694
20260301-140254-TMMEA-DA-v1-best-epoch3-DBP15K-fr_en-s42,fr_en,0.6089,0.8924,0.705,0.6033,0.8929,0.702
20260301-183325-TMMEA-DA-v1-best-epoch3-DBP15K-ja_en-s3407,ja_en,0.6026,0.8786,0.696,0.6014,0.8758,0.695
20260301-191419-TMMEA-DA-v1-best-epoch3-DBP15K-ja_en-s2026,ja_en,0.5971,0.8745,0.691,0.5929,0.8745,0.688
20260301-195359-TMMEA-DA-v1-best-epoch3-DBP15K-ja_en-s7,ja_en,0.6093,0.889,0.704,0.6064,0.887,0.701
20260301-203311-TMMEA-DA-v1-best-epoch3-DBP15K-ja_en-s123,ja_en,0.5994,0.8808,0.695,0.597,0.8827,0.694
