lang_pair,metric,baseline_mean,baseline_std,tmmeada_mean,tmmeada_std,delta_tmmeada_minus_baseline
zh_en,l2r Hits@1,0.6426,0.0037,0.5523,0.0055,-0.0903
zh_en,l2r Hits@10,0.8757,0.0021,0.8412,0.0017,-0.0345
zh_en,l2r MRR,0.7224,0.0031,0.6492,0.0035,-0.0732
zh_en,r2l Hits@1,0.6375,0.0034,0.5531,0.0025,-0.0844
zh_en,r2l Hits@10,0.8681,0.0022,0.8402,0.0021,-0.0279
zh_en,r2l MRR,0.7164,0.0034,0.649,0.0025,-0.0674
ja_en,l2r Hits@1,0.5994,0.0022,0.5072,0.0071,-0.0922
ja_en,l2r Hits@10,0.8513,0.004,0.8149,0.0049,-0.0364
ja_en,l2r MRR,0.6838,0.0023,0.6114,0.005,-0.0724
ja_en,r2l Hits@1,0.5984,0.0026,0.5039,0.0046,-0.0945
ja_en,r2l Hits@10,0.8518,0.0033,0.8153,0.0043,-0.0365
ja_en,r2l MRR,0.683,0.0028,0.609,0.0037,-0.074
fr_en,l2r Hits@1,0.5408,0.0049,0.5367,0.0015,-0.0041
fr_en,l2r Hits@10,0.8473,0.003,0.8403,0.004,-0.007
fr_en,l2r MRR,0.6424,0.0045,0.6376,0.0015,-0.0048
fr_en,r2l Hits@1,0.5392,0.0029,0.5366,0.0028,-0.0026
fr_en,r2l Hits@10,0.8509,0.0039,0.8401,0.004,-0.0108
fr_en,r2l MRR,0.6418,0.0031,0.637,0.0017,-0.0048
