target,scenario,variant,seed,baseline_avg_hits@1,method_avg_hits@1,delta_avg_hits@1,baseline_avg_hits@10,method_avg_hits@10,delta_avg_hits@10,baseline_avg_mrr,method_avg_mrr,delta_avg_mrr,baseline_avg_mr,method_avg_mr,delta_avg_mr
ja_en,cross_lingual,v15_refresh4_da0025_expand5,7,0.43405000000000005,0.442,0.007949999999999957,0.6535500000000001,0.6671,0.013549999999999951,0.5085,0.518,0.009500000000000064,70.10900000000001,63.3965,-6.712500000000006
ja_en,cross_lingual,v15_refresh4_da0025_expand5,42,0.42884999999999995,0.44265,0.013800000000000034,0.6573,0.6726000000000001,0.015300000000000091,0.5075000000000001,0.5215000000000001,0.014000000000000012,77.30699999999999,67.59549999999999,-9.711500000000001
ja_en,cross_lingual,v15_refresh4_da0025_expand5,123,0.43145,0.44155,0.010099999999999998,0.6563000000000001,0.6699999999999999,0.013699999999999823,0.509,0.52,0.01100000000000001,75.269,65.539,-9.730000000000004
ja_en,cross_lingual,v15_refresh4_da0025_expand5,2026,0.43115000000000003,0.44265,0.011499999999999955,0.64865,0.66075,0.0121,0.5065,0.519,0.012500000000000067,91.662,80.49549999999999,-11.166500000000013
ja_en,cross_lingual,v15_refresh4_da0025_expand5,3407,0.4329,0.44425000000000003,0.011350000000000027,0.6577500000000001,0.6736,0.01584999999999992,0.509,0.5225,0.013499999999999956,65.5685,56.5865,-8.982
FBDB15K,cross_graph,v18c_bipartite_late_il_skiprel_expand5,7,0.01175,0.015050000000000001,0.003300000000000001,0.0494,0.06655,0.01715,0.027,0.035,0.008000000000000004,1307.8315,1056.357,-251.47450000000003
FBDB15K,cross_graph,v18c_bipartite_late_il_skiprel_expand5,42,0.010700000000000001,0.01645,0.005749999999999998,0.0443,0.06395,0.019650000000000008,0.025,0.0345,0.009500000000000001,1335.3105,1120.4465,-214.86400000000003
FBDB15K,cross_graph,v18c_bipartite_late_il_skiprel_expand5,123,0.010950000000000001,0.01595,0.0049999999999999975,0.048100000000000004,0.06355,0.015449999999999992,0.026,0.0345,0.008500000000000004,1324.1225,1142.922,-181.20049999999992
FBDB15K,cross_graph,v18c_bipartite_late_il_skiprel_expand5,2026,0.011699999999999999,0.01515,0.0034500000000000017,0.05005,0.059800000000000006,0.009750000000000009,0.027,0.0335,0.006500000000000002,1252.9335,1070.594,-182.33950000000004
FBDB15K,cross_graph,v18c_bipartite_late_il_skiprel_expand5,3407,0.01065,0.01585,0.0052,0.0465,0.0629,0.016399999999999998,0.025500000000000002,0.0345,0.009000000000000001,1291.0405,1086.8355,-204.20500000000015
fr_en,cross_lingual,v14b_refresh4_da0025_expand5,7,0.456,0.46840000000000004,0.012400000000000022,0.66905,0.6899,0.020849999999999924,0.528,0.5425,0.014499999999999957,67.9305,54.508,-13.422499999999992
fr_en,cross_lingual,v14b_refresh4_da0025_expand5,42,0.45809999999999995,0.4668,0.008700000000000041,0.68425,0.698,0.013749999999999929,0.5335000000000001,0.544,0.010499999999999954,49.781000000000006,43.6275,-6.153500000000008
fr_en,cross_lingual,v14b_refresh4_da0025_expand5,123,0.4628,0.47385,0.011050000000000004,0.6895,0.70485,0.015349999999999975,0.539,0.5515000000000001,0.012500000000000067,43.4785,37.317499999999995,-6.161000000000001
fr_en,cross_lingual,v14b_refresh4_da0025_expand5,2026,0.45885,0.46985,0.01100000000000001,0.6730499999999999,0.6883,0.015250000000000097,0.532,0.544,0.01200000000000001,55.775000000000006,47.163,-8.612000000000009
fr_en,cross_lingual,v14b_refresh4_da0025_expand5,3407,0.4656,0.47314999999999996,0.007549999999999946,0.69365,0.7094499999999999,0.015799999999999925,0.5425,0.5535000000000001,0.01100000000000012,44.998999999999995,40.29900000000001,-4.699999999999989
FBYG15K,cross_graph,v24b_strictsrc_staged_fresh_il_top400_expand5,7,0.03485,0.0376,0.0027500000000000024,0.0939,0.09885,0.004949999999999996,0.057,0.0605,0.003499999999999996,916.371,837.5865,-78.78449999999998
FBYG15K,cross_graph,v24b_strictsrc_staged_fresh_il_top400_expand5,42,0.0359,0.0378,0.001899999999999999,0.09885,0.1033,0.0044500000000000095,0.0595,0.062,0.0025000000000000022,859.318,842.047,-17.270999999999958
FBYG15K,cross_graph,v24b_strictsrc_staged_fresh_il_top400_expand5,123,0.03695,0.03715,0.00020000000000000573,0.09855,0.10200000000000001,0.0034500000000000086,0.06,0.0615,0.0015000000000000013,868.7455,827.986,-40.7595
FBYG15K,cross_graph,v24b_strictsrc_staged_fresh_il_top400_expand5,2026,0.034949999999999995,0.0369,0.0019500000000000073,0.0909,0.0984,0.007500000000000007,0.056,0.0595,0.003499999999999996,1001.913,941.273,-60.639999999999986
FBYG15K,cross_graph,v24b_strictsrc_staged_fresh_il_top400_expand5,3407,0.03535,0.038400000000000004,0.003050000000000004,0.09079999999999999,0.09355,0.0027500000000000024,0.0565,0.0595,0.0029999999999999957,976.8585,960.262,-16.596500000000106
