dataset,role,run_name,elapsed_min
ja_en,baseline,20260304-221002-MEAformer-transfer-adapt-target-ja_en-transfer-tgt-DBP15K-ja_en-s42,55.92
ja_en,baseline,20260305-003102-MEAformer-transfer-adapt-target-ja_en-transfer-tgt-DBP15K-ja_en-s3407,45.45
ja_en,baseline,20260309-132501-MEAformer-transfer-adapt-target-ja_en-transfer-tgt-DBP15K-ja_en-s2026,44.98
ja_en,baseline,20260310-014653-MEAformer-transfer-adapt-target-ja_en-transfer-tgt-DBP15K-ja_en-s7,43.90
ja_en,baseline,20260310-064559-MEAformer-transfer-adapt-target-ja_en-transfer-tgt-DBP15K-ja_en-s123,43.20
ja_en,method,20260311-010054-TMMEA-DA-transfer-adapt-v15-target-ja_en-transfer-tgt-DBP15K-ja_en-s42,79.42
ja_en,method,20260311-022024-TMMEA-DA-transfer-adapt-v15-target-ja_en-transfer-tgt-DBP15K-ja_en-s2026,78.53
ja_en,method,20260311-141959-TMMEA-DA-transfer-adapt-v15-target-ja_en-transfer-tgt-DBP15K-ja_en-s3407,73.27
ja_en,method,20260311-153322-TMMEA-DA-transfer-adapt-v15-target-ja_en-transfer-tgt-DBP15K-ja_en-s7,88.12
ja_en,method,20260311-170134-TMMEA-DA-transfer-adapt-v15-target-ja_en-transfer-tgt-DBP15K-ja_en-s123,86.27
FBDB15K,baseline,20260304-235807-MEAformer-transfer-adapt-target-fbdb15k-transfer-tgt-FBDB15K-norm-s42,16.02
FBDB15K,baseline,20260305-011633-MEAformer-transfer-adapt-target-fbdb15k-transfer-tgt-FBDB15K-norm-s3407,12.62
FBDB15K,baseline,20260310-114730-MEAformer-transfer-adapt-target-fbdb15k-transfer-tgt-FBDB15K-norm-s2026,14.40
FBDB15K,baseline,20260310-160541-MEAformer-transfer-adapt-target-fbdb15k-transfer-tgt-FBDB15K-norm-s7,15.73
FBDB15K,baseline,20260310-203554-MEAformer-transfer-adapt-target-fbdb15k-transfer-tgt-FBDB15K-norm-s123,13.57
FBDB15K,method,20260312-042709-TMMEA-DA-transfer-adapt-v18c-target-fbdb15k-transfer-tgt-FBDB15K-norm-s42,4.60
FBDB15K,method,20260312-043149-TMMEA-DA-transfer-adapt-v18c-target-fbdb15k-transfer-tgt-FBDB15K-norm-s2026,4.62
FBDB15K,method,20260312-043631-TMMEA-DA-transfer-adapt-v18c-target-fbdb15k-transfer-tgt-FBDB15K-norm-s3407,4.62
FBDB15K,method,20260312-044112-TMMEA-DA-transfer-adapt-v18c-target-fbdb15k-transfer-tgt-FBDB15K-norm-s7,4.77
FBDB15K,method,20260312-044603-TMMEA-DA-transfer-adapt-v18c-target-fbdb15k-transfer-tgt-FBDB15K-norm-s123,4.57
fr_en,baseline,20260305-233633-MEAformer-transfer-adapt-target-fr_en-transfer-tgt-DBP15K-fr_en-s42,51.32
fr_en,baseline,20260306-021952-MEAformer-transfer-adapt-target-fr_en-transfer-tgt-DBP15K-fr_en-s3407,51.68
fr_en,baseline,20260308-022602-MEAformer-transfer-adapt-target-fr_en-transfer-tgt-DBP15K-fr_en-s2026,64.20
fr_en,baseline,20260308-083317-MEAformer-transfer-adapt-target-fr_en-transfer-tgt-DBP15K-fr_en-s7,45.43
fr_en,baseline,20260308-135912-MEAformer-transfer-adapt-target-fr_en-transfer-tgt-DBP15K-fr_en-s123,50.85
fr_en,method,20260307-174625-TMMEA-DA-transfer-adapt-v14b-target-fr_en-transfer-tgt-DBP15K-fr_en-s42,82.07
fr_en,method,20260307-195918-TMMEA-DA-transfer-adapt-v14b-target-fr_en-transfer-tgt-DBP15K-fr_en-s3407,215.12
fr_en,method,20260308-053702-TMMEA-DA-transfer-adapt-v14b-target-fr_en-transfer-tgt-DBP15K-fr_en-s2026,75.00
fr_en,method,20260308-110003-TMMEA-DA-transfer-adapt-v14b-target-fr_en-transfer-tgt-DBP15K-fr_en-s7,74.23
fr_en,method,20260308-165137-TMMEA-DA-transfer-adapt-v14b-target-fr_en-transfer-tgt-DBP15K-fr_en-s123,95.37
FBYG15K,baseline,20260306-002756-MEAformer-transfer-adapt-target-fbyg15k-transfer-tgt-FBYG15K-norm-s42,19.45
FBYG15K,baseline,20260306-031137-MEAformer-transfer-adapt-target-fbyg15k-transfer-tgt-FBYG15K-norm-s3407,18.02
FBYG15K,baseline,20260308-211722-MEAformer-transfer-adapt-target-fbyg15k-transfer-tgt-FBYG15K-norm-s2026,18.55
FBYG15K,baseline,20260309-014831-MEAformer-transfer-adapt-target-fbyg15k-transfer-tgt-FBYG15K-norm-s7,17.78
FBYG15K,baseline,20260309-054817-MEAformer-transfer-adapt-target-fbyg15k-transfer-tgt-FBYG15K-norm-s123,17.78
FBYG15K,method,20260314-062815-TMMEA-DA-transfer-adapt-v24b-target-fbyg15k-transfer-tgt-FBYG15K-norm-s42,21.17
FBYG15K,method,20260314-064929-TMMEA-DA-transfer-adapt-v24b-target-fbyg15k-transfer-tgt-FBYG15K-norm-s2026,20.85
FBYG15K,method,20260314-075046-TMMEA-DA-transfer-adapt-v24b-target-fbyg15k-transfer-tgt-FBYG15K-norm-s3407,21.13
FBYG15K,method,20260314-081158-TMMEA-DA-transfer-adapt-v24b-target-fbyg15k-transfer-tgt-FBYG15K-norm-s7,20.87
FBYG15K,method,20260314-083254-TMMEA-DA-transfer-adapt-v24b-target-fbyg15k-transfer-tgt-FBYG15K-norm-s123,21.10
